AuthorsId,LibraryMangasId
1,1
2,1
3,2
4,3
5,4
6,5
7,6
8,6
9,7
10,8
11,9
12,10
13,11
14,12
15,12
12,13
16,14
17,14
18,15
7,16
19,17
20,18
21,18
22,19
23,19
24,20
25,21
26,22
27,23
11,24
28,25
29,26
30,27
31,27
32,28
33,29
34,30
35,31
36,32
37,32
38,33
39,34
4,35
40,36
41,37
42,37
43,38
12,39
44,39
45,40
46,41
47,42
4,43
48,44
49,45
50,46
51,47
52,48
