Id,Title,DemographicType,Type,PublishingStatus,TotalVolumes,MainImageUrl
221,5-toubun no Hanayome,Shounen,Manga,Finished,14,https://cdn.myanimelist.net/images/manga/2/201572l.jpg
222,Gangsta.,Seinen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/2/271919l.jpg
223,Shokugeki no Souma,Shounen,Manga,Finished,36,https://cdn.myanimelist.net/images/manga/1/115803l.jpg
224,Petshop of Horrors,Josei,Manga,Finished,10,https://cdn.myanimelist.net/images/manga/5/212566l.jpg
225,Sakamoto Days,Shounen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/1/242919l.jpg
226,Sora wa Akai Kawa no Hotori,Shoujo,Manga,Finished,28,https://cdn.myanimelist.net/images/manga/2/260695l.jpg
227,Psyren,Shounen,Manga,Finished,16,https://cdn.myanimelist.net/images/manga/2/160868l.jpg
228,Trigun Maximum,Seinen,Manga,Finished,14,https://cdn.myanimelist.net/images/manga/3/55331l.jpg
229,Strobe Edge,Shoujo,Manga,Finished,10,https://cdn.myanimelist.net/images/manga/1/255194l.jpg
230,Tokyo卍Revengers,Shounen,Manga,Finished,31,https://cdn.myanimelist.net/images/manga/3/196272l.jpg
231,Yubisaki to Renren,Shoujo,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/5/262471l.jpg
232,Beast Master,Shoujo,Manga,Finished,2,https://cdn.myanimelist.net/images/manga/2/169235l.jpg
233,GTO: Shonan 14 Days,Shounen,Manga,Finished,9,https://cdn.myanimelist.net/images/manga/3/257894l.jpg
234,Full Moon wo Sagashite,Shoujo,Manga,Finished,7,https://cdn.myanimelist.net/images/manga/3/175970l.jpg
235,Chrno Crusade,Shounen,Manga,Finished,8,https://cdn.myanimelist.net/images/manga/2/178875l.jpg
236,Ranma ½,Shounen,Manga,Finished,38,https://cdn.myanimelist.net/images/manga/1/156534l.jpg
237,Beauty Pop,Shoujo,Manga,Finished,10,https://cdn.myanimelist.net/images/manga/2/257891l.jpg
238,Kakukaku Shikajika,Josei,Manga,Finished,5,https://cdn.myanimelist.net/images/manga/1/154270l.jpg
239,Magi: Sinbad no Bouken,Shounen,Manga,Finished,19,https://cdn.myanimelist.net/images/manga/3/209406l.jpg
